,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
140,7161.8,0.24058,-0.056586,1.1301,0.10851,-0.019055,0.051314,3754.8,NA,NA,NA,NA,239.57,NA,1.21,0.58,0.000019624,1,6.95,289.8797
141,3584.5,-0.49771,-0.12518,0.87361,0.04017,-0.021751,-0.088878,3754.8,NA,NA,NA,NA,57.217,NA,1.21,0.7241,0.000019624,1,7,69.23257
142,9196,-0.47336,-0.10034,1.1535,-0.084892,-0.022057,-0.037047,3754.8,NA,NA,NA,NA,150.89,NA,1.21,0.54842,0.000019624,1,7.05,182.5769
143,5108.8,-0.20994,0.13084,1.0107,-0.16749,-0.023198,0.0066365,3754.8,NA,NA,NA,NA,175.04,NA,1.21,0.64995,0.000019624,1,7.1,211.7984
144,7970.4,-0.016765,0.1591,1.1059,-0.076407,0.02732,-0.034519,3754.8,NA,NA,NA,NA,125.38,NA,1.21,0.5502,0.000019624,1,7.15,151.7098
145,5003.7,0.46127,-0.23405,0.97356,0.041664,0.0075326,0.028269,3754.8,NA,NA,NA,NA,149.39,NA,1.21,0.66628,0.000019624,1,7.2,180.7619
146,5849.8,0.31128,-0.42535,0.97048,0.10636,-0.035426,-0.083947,3754.8,NA,NA,NA,NA,95.25,NA,1.21,0.64577,0.000019624,1,7.25,115.2525
147,9865.3,-0.28012,-0.19211,1.214,-0.16975,-0.12089,0.025869,3754.8,NA,NA,NA,NA,173.36,NA,1.21,0.50146,0.000019624,1,7.3,209.7656
148,8594.8,-0.31434,0.075757,1.1314,0.0046391,-0.048551,0.059456,3754.8,NA,NA,NA,NA,177.03,NA,1.21,0.53336,0.000019624,1,7.35,214.2063
149,3958.1,-0.5053,-0.053206,0.90699,-0.081406,-0.030796,-0.052841,3754.8,NA,NA,NA,NA,104.37,NA,1.21,0.68939,0.000019624,1,7.4,126.2877
